const,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,62.5,100.0,2.35,0.394,2.16,88.149,12.3367929690456,77.859990559681,0.4,90.0,91.0,5.4,19.55,4.3
1.0,8360.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,80.4470258702833,98.9818075276227,100.0,2.35,0.394,2.16,59.868,1.28361099483121,96.131870575848,0.1,73.0,89.0,2.5,19.55,4.3
1.0,9950.0,20.200000000000003,40.1,3228.43505859,95.0868612669902,94.8005123042056,4.056111670985595,87.2587154718951,90.8834993687823,99.8,2.46,0.394,2.16,88.016,13.7086408761723,74.7376983511031,0.7,93.0,91.0,3.9,12.2,4.3
1.0,2510.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,93.0437426301311,88.3,0.9,0.394,2.16,60.155,9.45054216988521,81.6398958837988,0.4,90.0,91.0,19.6,19.55,4.3
1.0,3860.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,47.1275328737655,95.0863607756551,100.0,2.35,0.394,2.16,19.416,9.47024212360678,82.5187048538365,0.1,99.0,97.0,4.1,19.5,0.5
1.0,12800.0,29.6,40.1,3228.43505859,95.1709315749585,95.7654716766416,4.056111670985595,43.0378794213272,92.5184477680319,99.7,1.02,0.394,2.16,81.862,9.0934368360701,80.4103092072542,0.5,80.0,78.0,3.1,14.9,4.3
1.0,2220.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,52.1772757616933,51.1,2.35,0.244,1.265,69.281,59.1622729537789,31.7494401531339,1.6,53.0,64.0,23.2,19.55,4.3
1.0,10550.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,93.0437426301311,94.4,2.35,0.394,2.16,37.267,11.3394877661653,82.8045358893799,0.4,83.0,93.0,5.4,19.55,4.3
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,5.44313725490196,81.94279215408704,93.0437426301311,100.0,2.35,0.394,2.16,89.033,12.3367929690456,77.859990559681,0.4,90.0,91.0,5.4,19.55,4.3
1.0,600.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,40.5758031158919,50.3,2.35,0.394,2.16,48.519,61.0164601667836,29.8790260671022,0.1,64.0,70.0,51.3,19.55,4.3
1.0,26950.0,20.200000000000003,40.1,1988.94665527,95.12889642097434,94.83025645727861,4.056111670985595,94.9814964714414,95.3067363442577,100.0,2.35,5.127,9.467,68.936,3.41432799404597,91.1542757580292,0.2,86.0,89.0,2.5,31.4,4.3
1.0,77920.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,95.9914050398065,89.2548706492391,100.0,2.35,0.394,14.34,64.76,5.68459569024138,90.4058687318321,0.2,90.0,92.0,2.5,19.3,4.3
1.0,1760.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,37.475878862445,51.3,4.77,0.394,2.16,60.472,24.6562332642119,64.7169351587221,1.6,77.0,60.0,50.4,8.1,4.3
1.0,62840.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,99.9678911890245,97.6702343416938,100.0,2.35,0.394,2.16,93.453,6.00082384419398,88.234188813408,0.4,89.0,91.0,2.5,21.3,4.3
1.0,13660.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,95.8923614069453,100.0,2.35,0.394,2.16,65.544,3.54971055780421,89.6330763010546,0.4,95.0,97.0,2.5,23.4,4.3
1.0,6940.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,75.2243421159045,84.9109519217603,100.0,5.66,0.394,2.16,43.599,4.47050314530646,89.484237974785,0.9,84.0,86.0,2.5,29.7,4.3
