country,iso3_code,region,income_level,latitude,longitude,crude_death_rate,total_population,population_65_plus_pct,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
Estonia,EST,ECS,HIC,59.0,26.0,11.7,1371986.0,21.2973321004949,28700.0,,,,,,,97.0193826204319,99.0602205522915,100.0,,,,70.019,3.58259932872953,92.1948909762529,0.7,83.0,81.0,2.5,28.3,
Ethiopia,ETH,SSF,INX,8.0,38.0,5.96,132059767.0,3.22998448410868,,,,,,,2.2978069565991,13.2378982432178,9.33621609876944,55.4,,0.108,0.748,23.661,44.654315277746,43.2587026475636,0.7,72.0,73.0,22.2,5.2,
Finland,FIN,ECS,HIC,64.0,26.0,11.0,5637214.0,23.8972369428395,51710.0,,,,,,,99.6420270617799,99.4479470760581,100.0,,,,85.872,1.42416707005328,92.9328258466129,,94.0,91.0,2.5,22.3,
Fiji,FJI,EAS,UMC,,,9.255,928784.0,6.48697651983669,5680.0,,,212.88697815,,,,41.8635812237094,93.0437426301311,99.3,,,,59.192,9.350539618217,84.7051796587893,1.0,91.0,94.0,7.8,27.6,
France,FRA,ECS,HIC,46.0,2.0,9.2,68516699.0,22.1465618989138,45180.0,,,,,,,99.7041454123987,98.6459963453591,100.0,,,,82.044,6.36802803638816,87.2761033734964,,95.0,96.0,2.5,34.6,
Faroe Islands,FRO,ECS,HIC,,,7.6,54719.0,17.7375247069017,,,,,,,,,,100.0,,,,43.206,,,,,,,,
"Micronesia, Fed. Sts.",FSM,EAS,LMC,,,7.64,113160.0,5.94951418560363,4250.0,,,,,,,,,86.9,,,,23.555,12.7066300942558,79.4845909465401,,81.0,76.0,,,
Gabon,GAB,SSF,UMC,-1.0,11.5,6.269,2538952.0,4.08255139966242,7550.0,,,,,,,,49.8962345236713,94.1,,0.477,2.175,91.307,46.2702217334233,45.0063092378199,2.8,57.0,61.0,20.1,,
United Kingdom,GBR,ECS,HIC,54.0,-2.0,9.518,69226000.0,19.4997673608515,48610.0,,,5366.77685547,,,,99.8041470058874,99.1047902642941,100.0,2.35,3.174,9.151,84.884,8.1567751410004,88.1570765293416,,89.0,92.0,2.5,14.2,
Georgia,GEO,ECS,UMC,42.0,43.5,11.839,3673850.0,15.6376865642243,8200.0,9.4,33.9,,99.620002746582,99.6800003051758,3.98011682083814,69.1418510304816,86.2580184560702,100.0,,5.613,5.98,61.162,2.75314406500288,93.3455004497632,0.4,90.0,86.0,4.0,31.8,
Ghana,GHA,SSF,LMC,8.0,-2.0,7.04,34427414.0,3.70833260535242,2320.0,,,,,,,44.4680831984093,28.5838871671897,89.5,,0.141,3.789,59.854,45.238195906874,45.3861391861051,1.5,90.0,95.0,6.2,3.4,
Gibraltar,GIB,ECS,HIC,,,6.51,39329.0,17.6155000127133,,,,,,,,100.0,100.0,100.0,,,,100.0,,,,,,,,
Guinea,GIN,SSF,LMC,11.0,-10.0,9.125,14754785.0,3.45511630785822,1470.0,,,,,,,,31.2707417142027,51.1,,0.021,0.371,38.517,57.9601248878216,33.2732838664995,1.3,60.0,63.0,10.3,,
"Gambia, The",GMB,SSF,LIC,13.5,-16.5,6.292,2759988.0,3.07823857897907,890.0,,,,,,,47.6746525259498,47.7159921427543,66.9,1.15,,,65.08,52.173129196563,37.0967169269006,1.3,83.0,80.0,20.5,10.5,
Guinea-Bissau,GNB,SSF,LIC,12.0,-15.0,7.05,2201352.0,3.191856640828,960.0,,,,,,,23.871601843252,27.8438185893828,40.5,,0.208,0.986,45.893,57.6206587004614,33.173239929153,2.2,65.0,68.0,32.2,8.2,
Equatorial Guinea,GNQ,SSF,UMC,2.0,10.0,7.878,1892516.0,3.68789387041011,4740.0,,,,,,,,,66.9,,0.143,0.835,74.874,59.5093933289138,32.7808875315218,,53.0,68.0,,,
Greece,GRC,ECS,HIC,39.0,22.0,12.2,10388805.0,23.939763430194,23030.0,,,,,,,98.879641286099,99.0005831064114,100.0,,,,80.984,12.8546065898118,83.2361672454401,0.3,91.0,95.0,2.5,32.8,
Grenada,GRD,LCN,UMC,,,8.859,117207.0,12.2394044749696,10550.0,,,,,,,,,94.4,,,,37.267,11.3394877661653,82.8045358893799,,83.0,93.0,,,
Greenland,GRL,ECS,HIC,,,9.4,56836.0,10.8086569543065,,,,,,,,,62.5,100.0,,,,88.149,,,,,,,,
